start, end, label
128.5, 129.5, 給
129.5, 131.0, 我
131.0, 131.5, 正服下的
131.5, 132.0, 釋懷
132.0, 133.0, 說了
133.0, 134.0, 太多
134.0, 137.5, 成真不了
137.5, 138.5, no lyrics
138.5, 139.5, 也許
139.5, 140.5, 時間
140.5, 141.5, 一種
141.5, 144.0, 解藥
144.0, 144.5, 也是
144.5, 145.0, 我
145.0, 146.5, 現在
146.5, 148.0, 正服下的
148.0, 150.0, 毒藥
150.0, 150.5, no lyrics
150.5, 151.5, 看不見
151.5, 152.5, 妳的
152.5, 153.0, 笑
153.0, 154.0, 怎麼
154.0, 154.5, 解藥
154.5, 156.0, 睡得著
156.0, 157.0, no lyrics
157.0, 157.5, 妳的
157.5, 158.5, 聲音
158.5, 159.5, 這麼近
159.5, 160.0, 我
160.0, 160.5, 卻
160.5, 162.5, 抱不到
162.5, 163.5, no lyrics
163.5, 164.0, 沒有
164.0, 165.5, 地球
165.5, 167.0, 太陽
167.0, 167.5, 還是
167.5, 168.0, 會
168.0, 169.5, 繞
169.5, 170.0, no lyrics
170.0, 171.0, 沒有
171.0, 172.0, 理由
172.0, 173.0, 我
173.0, 173.5, 也能
173.5, 174.5, 自己
174.5, 176.0, 走
176.0, 176.5, no lyrics
176.5, 177.0, 妳
177.0, 178.5, 離開
178.5, 179.0, 我
179.0, 180.0, 知道
180.0, 182.0, 很簡單
182.0, 183.0, no lyrics
183.0, 183.5, 說
183.5, 185.0, 依賴
185.0, 185.5, no lyrics
185.5, 187.0, 我們的
187.0, 189.0, 阻礙
189.0, 189.5, no lyrics
189.5, 190.0, 就算
190.0, 190.5, 怎麼
190.5, 191.5, 放開
191.5, 192.0, no lyrics
192.0, 192.5, 但
192.5, 193.5, 能不能
193.5, 194.5, 別沒收
194.5, 195.5, 我的
195.5, 196.5, 愛
196.5, 197.5, 當作
197.5, 198.0, 我
198.0, 198.5, 最後
198.5, 202.0, 才明白
202.0, 203.5, no lyrics
203.5, 204.0, 看不見
204.0, 204.5, 妳的
204.5, 205.0, 笑
205.0, 206.0, 怎麼
206.0, 207.0, 睡得著
207.0, 207.5, 聲音
207.5, 208.5, 這麼近
208.5, 209.0, 卻
209.0, 210.0, 抱不到
210.0, 210.5, 沒有
210.5, 211.0, 地球
211.0, 211.5, 太陽
211.5, 212.0, 會
212.0, 213.5, 繞
213.5, 214.0, 沒有
214.0, 214.5, 我
214.5, 215.0, 也能
215.0, 215.5, 自己
215.5, 216.5, 走掉
216.5, 217.0, 釋懷
217.0, 217.5, 說了
217.5, 218.0, 太多
218.0, 218.5, 就
218.5, 220.0, 成真不了
220.0, 220.5, 也許
220.5, 221.0, 時間
221.0, 221.5, 一種
221.5, 223.0, 解藥
223.0, 223.5, 也是
223.5, 224.0, 現在
224.0, 224.5, 聲音
224.5, 225.5, 正服下的
225.5, 227.0, 毒藥
227.0, 227.5, no lyrics
227.5, 228.0, 正服下的
228.0, 228.5, no lyrics
228.5, 229.0, 地球
229.0, 230.5, 離開
230.5, 231.0, no lyrics
231.0, 232.0, 知道
232.0, 234.0, 很簡單
234.0, 235.0, no lyrics
235.0, 235.5, 說
235.5, 237.0, 依賴
237.0, 237.5, 是
237.5, 239.0, 我們的
239.0, 241.0, 阻礙
241.0, 241.5, no lyrics
241.5, 242.0, 就算
242.0, 243.5, 放開
243.5, 244.0, no lyrics
244.0, 245.5, 能不能
245.5, 246.5, 別沒收
246.5, 247.5, 我的
247.5, 248.5, 愛
248.5, 252.0, no lyrics
252.0, 252.5, 當作
252.5, 253.0, 我
253.0, 254.0, 最後
254.0, 255.0, 才
255.0, 257.0, 明白
257.0, 267.5, no lyrics
267.5, 269.5, 開始
269.5, 270.5, no lyrics
270.5, 271.5, 開始
271.5, 272.0, no lyrics
272.0, 272.5, 開始
